time,sensor,value
1722216690.9720705,ptychonn.2.framesqueued,1.0
1722216690.974962,ptychonn.2.framesqueued,2.0
1722216690.9766319,ptychonn.2.framesqueued,3.0
1722216690.9778717,ptychonn.2.framesqueued,2.0
1722216690.9800117,ptychonn.2.framesqueued,3.0
1722216690.9817924,ptychonn.2.framesqueued,2.0
1722216690.9839866,ptychonn.2.framesqueued,1.0
1722216690.9845052,ptychonn.2.framesqueued,2.0
1722216690.9869525,ptychonn.2.framesqueued,3.0
1722216690.987973,ptychonn.2.framesqueued,2.0
1722216690.9905686,ptychonn.2.framesqueued,1.0
1722216690.9914048,ptychonn.2.framesqueued,2.0
1722216690.9936776,ptychonn.2.framesqueued,1.0
1722216690.994181,ptychonn.2.framesqueued,2.0
1722216690.996024,ptychonn.2.framesqueued,1.0
1722216690.996964,ptychonn.2.framesqueued,2.0
1722216690.9991913,ptychonn.2.framesqueued,1.0
1722216690.9999578,ptychonn.2.framesqueued,2.0
1722216691.0033712,ptychonn.2.framesqueued,3.0
1722216691.0078666,ptychonn.2.framesqueued,4.0
1722216691.0108166,ptychonn.2.framesqueued,5.0
1722216691.0303195,ptychonn.2.framesqueued,6.0
1722216691.04423,ptychonn.2.framesqueued,7.0
1722216691.0447743,ptychonn.2.framesqueued,8.0
1722216691.045178,ptychonn.2.framesqueued,9.0
1722216691.04561,ptychonn.2.framesqueued,10.0
1722216691.0464447,ptychonn.2.framesqueued,11.0
1722216691.0471084,ptychonn.2.framesqueued,12.0
1722216691.0476205,ptychonn.2.framesqueued,13.0
1722216691.0480385,ptychonn.2.framesqueued,14.0
1722216691.0484865,ptychonn.2.framesqueued,15.0
1722216691.0488832,ptychonn.2.framesqueued,16.0
1722216691.0506926,ptychonn.2.framesqueued,17.0
1722216691.0584912,ptychonn.2.framesqueued,18.0
1722216691.059005,ptychonn.2.framesqueued,19.0
1722216691.065408,ptychonn.2.framesqueued,20.0
1722216691.0659938,ptychonn.2.framesqueued,21.0
1722216691.0675845,ptychonn.2.framesqueued,22.0
1722216691.0707889,ptychonn.2.framesqueued,23.0
1722216691.0742,ptychonn.2.framesqueued,24.0
1722216691.0878046,ptychonn.2.framesqueued,25.0
1722216691.0883355,ptychonn.2.framesqueued,26.0
1722216691.0887563,ptychonn.2.framesqueued,27.0
1722216691.0891488,ptychonn.2.framesqueued,28.0
1722216691.0908532,ptychonn.2.framesqueued,29.0
1722216691.0940468,ptychonn.2.framesqueued,30.0
1722216691.0971599,ptychonn.2.framesqueued,31.0
1722216691.100502,ptychonn.2.framesqueued,32.0
1722216691.103747,ptychonn.2.framesqueued,33.0
1722216691.1070702,ptychonn.2.framesqueued,34.0
1722216691.1103394,ptychonn.2.framesqueued,35.0
1722216691.1136847,ptychonn.2.framesqueued,36.0
1722216691.117111,ptychonn.2.framesqueued,37.0
1722216691.1203198,ptychonn.2.framesqueued,38.0
1722216691.1236787,ptychonn.2.framesqueued,39.0
1722216691.127045,ptychonn.2.framesqueued,40.0
1722216691.130354,ptychonn.2.framesqueued,41.0
1722216691.1337633,ptychonn.2.framesqueued,42.0
1722216691.1370761,ptychonn.2.framesqueued,43.0
1722216691.1421494,ptychonn.2.batchesprocessed.total,1.0
1722216691.1425693,ptychonn.2.framesprocessed.total,8.0
1722216691.1424942,ptychonn.2.framesqueued,44.0
1722216691.142626,ptychonn.2.inferTime.total,0.11166048049926758
1722216691.1436164,ptychonn.2.framesqueued,43.0
1722216691.1446657,ptychonn.2.framesqueued,44.0
1722216691.1454906,ptychonn.2.framesqueued,43.0
1722216691.14647,ptychonn.2.framesqueued,44.0
1722216691.147141,ptychonn.2.framesqueued,43.0
1722216691.1482105,ptychonn.2.framesqueued,42.0
1722216691.1491685,ptychonn.2.framesqueued,41.0
1722216691.1498697,ptychonn.2.framesqueued,42.0
1722216691.150694,ptychonn.2.framesqueued,41.0
1722216691.1513617,ptychonn.2.framesqueued,40.0
1722216691.1524043,ptychonn.2.framesqueued,39.0
1722216691.153012,ptychonn.2.framesqueued,40.0
1722216691.1563306,ptychonn.2.framesqueued,41.0
1722216691.1844137,ptychonn.2.framesqueued,42.0
1722216691.1850092,ptychonn.2.framesqueued,43.0
1722216691.1854339,ptychonn.2.framesqueued,44.0
1722216691.1858811,ptychonn.2.framesqueued,45.0
1722216691.1865456,ptychonn.2.framesqueued,46.0
1722216691.1871781,ptychonn.2.framesqueued,47.0
1722216691.187746,ptychonn.2.framesqueued,48.0
1722216691.1883242,ptychonn.2.framesqueued,49.0
1722216691.1888664,ptychonn.2.framesqueued,50.0
1722216691.1904726,ptychonn.2.framesqueued,51.0
1722216691.1938128,ptychonn.2.framesqueued,52.0
1722216691.2018676,ptychonn.2.framesqueued,53.0
1722216691.2024896,ptychonn.2.framesqueued,54.0
1722216691.2040012,ptychonn.2.framesqueued,55.0
1722216691.2071922,ptychonn.2.framesqueued,56.0
1722216691.2104998,ptychonn.2.framesqueued,57.0
1722216691.2200003,ptychonn.2.framesqueued,58.0
1722216691.220518,ptychonn.2.framesqueued,59.0
1722216691.2209167,ptychonn.2.framesqueued,60.0
1722216691.2237308,ptychonn.2.framesqueued,61.0
1722216691.2270684,ptychonn.2.framesqueued,62.0
1722216691.2303793,ptychonn.2.framesqueued,63.0
1722216691.2363622,ptychonn.2.batchesprocessed.total,2.0
1722216691.236791,ptychonn.2.framesprocessed.total,16.0
1722216691.2367263,ptychonn.2.framesqueued,64.0
1722216691.236837,ptychonn.2.inferTime.total,0.18898868560791016
1722216691.23789,ptychonn.2.framesqueued,63.0
1722216691.2389321,ptychonn.2.framesqueued,64.0
1722216691.2395954,ptychonn.2.framesqueued,65.0
1722216691.2402287,ptychonn.2.framesqueued,64.0
1722216691.2410212,ptychonn.2.framesqueued,63.0
1722216691.2421072,ptychonn.2.framesqueued,62.0
1722216691.2429674,ptychonn.2.framesqueued,63.0
1722216691.243357,ptychonn.2.framesqueued,62.0
1722216691.24471,ptychonn.2.framesqueued,61.0
1722216691.2455904,ptychonn.2.framesqueued,60.0
1722216691.2463553,ptychonn.2.framesqueued,61.0
1722216691.2468462,ptychonn.2.framesqueued,60.0
1722216691.2496188,ptychonn.2.framesqueued,61.0
1722216691.2530844,ptychonn.2.framesqueued,62.0
1722216691.2716506,ptychonn.2.framesqueued,63.0
1722216691.282824,ptychonn.2.framesqueued,64.0
1722216691.283335,ptychonn.2.framesqueued,65.0
1722216691.2837694,ptychonn.2.framesqueued,66.0
1722216691.2841969,ptychonn.2.framesqueued,67.0
1722216691.284956,ptychonn.2.framesqueued,68.0
1722216691.2855036,ptychonn.2.framesqueued,69.0
1722216691.285982,ptychonn.2.framesqueued,70.0
1722216691.2867186,ptychonn.2.framesqueued,71.0
1722216691.2872608,ptychonn.2.framesqueued,72.0
1722216691.2904775,ptychonn.2.framesqueued,73.0
1722216691.301636,ptychonn.2.framesqueued,74.0
1722216691.3021538,ptychonn.2.framesqueued,75.0
1722216691.3025763,ptychonn.2.framesqueued,76.0
1722216691.3038497,ptychonn.2.framesqueued,77.0
1722216691.3073153,ptychonn.2.framesqueued,78.0
1722216691.3193681,ptychonn.2.framesqueued,79.0
1722216691.319912,ptychonn.2.framesqueued,80.0
1722216691.3203247,ptychonn.2.framesqueued,81.0
1722216691.3207185,ptychonn.2.framesqueued,82.0
1722216691.323904,ptychonn.2.framesqueued,83.0
1722216691.3272023,ptychonn.2.framesqueued,84.0
1722216691.3305771,ptychonn.2.framesqueued,85.0
1722216691.3349552,ptychonn.2.batchesprocessed.total,3.0
1722216691.335385,ptychonn.2.framesprocessed.total,24.0
1722216691.3354394,ptychonn.2.inferTime.total,0.2707839012145996
1722216691.335326,ptychonn.2.framesqueued,86.0
1722216691.3363404,ptychonn.2.framesqueued,85.0
1722216691.3374145,ptychonn.2.framesqueued,86.0
1722216691.3381238,ptychonn.2.framesqueued,85.0
1722216691.3392444,ptychonn.2.framesqueued,84.0
1722216691.3400326,ptychonn.2.framesqueued,85.0
1722216691.3407586,ptychonn.2.framesqueued,84.0
1722216691.3418589,ptychonn.2.framesqueued,83.0
1722216691.3429441,ptychonn.2.framesqueued,82.0
1722216691.3437707,ptychonn.2.framesqueued,83.0
1722216691.344732,ptychonn.2.framesqueued,82.0
1722216691.3454583,ptychonn.2.framesqueued,81.0
1722216691.3464303,ptychonn.2.framesqueued,82.0
1722216691.3501341,ptychonn.2.framesqueued,83.0
1722216691.367091,ptychonn.2.framesqueued,84.0
1722216691.3770611,ptychonn.2.framesqueued,85.0
1722216691.3775637,ptychonn.2.framesqueued,86.0
1722216691.3780074,ptychonn.2.framesqueued,87.0
1722216691.3784692,ptychonn.2.framesqueued,88.0
1722216691.3791552,ptychonn.2.framesqueued,89.0
1722216691.3797064,ptychonn.2.framesqueued,90.0
1722216691.3801994,ptychonn.2.framesqueued,91.0
1722216691.3808544,ptychonn.2.framesqueued,92.0
1722216691.3840568,ptychonn.2.framesqueued,93.0
1722216691.3872445,ptychonn.2.framesqueued,94.0
1722216691.39182,ptychonn.2.framesqueued,95.0
1722216691.39392,ptychonn.2.framesqueued,96.0
1722216691.397316,ptychonn.2.framesqueued,97.0
1722216691.408193,ptychonn.2.framesqueued,98.0
1722216691.4087017,ptychonn.2.framesqueued,99.0
1722216691.4091172,ptychonn.2.framesqueued,100.0
1722216691.4106264,ptychonn.2.framesqueued,101.0
1722216691.4139712,ptychonn.2.framesqueued,102.0
1722216691.4173117,ptychonn.2.framesqueued,103.0
1722216691.4229698,ptychonn.2.batchesprocessed.total,4.0
1722216691.4234211,ptychonn.2.framesprocessed.total,32.0
1722216691.4233346,ptychonn.2.framesqueued,104.0
1722216691.4234686,ptychonn.2.inferTime.total,0.34397292137145996
1722216691.424046,ptychonn.2.framesqueued,105.0
1722216691.4247978,ptychonn.2.framesqueued,104.0
1722216691.426121,ptychonn.2.framesqueued,103.0
1722216691.4268684,ptychonn.2.framesqueued,104.0
1722216691.427562,ptychonn.2.framesqueued,103.0
1722216691.4286075,ptychonn.2.framesqueued,102.0
1722216691.4296916,ptychonn.2.framesqueued,103.0
1722216691.4299705,ptychonn.2.framesqueued,102.0
1722216691.4310818,ptychonn.2.framesqueued,101.0
1722216691.4321132,ptychonn.2.framesqueued,100.0
1722216691.4331856,ptychonn.2.framesqueued,101.0
1722216691.4334643,ptychonn.2.framesqueued,100.0
1722216691.4532125,ptychonn.2.framesqueued,101.0
1722216691.4637554,ptychonn.2.framesqueued,102.0
1722216691.4642634,ptychonn.2.framesqueued,103.0
1722216691.4646664,ptychonn.2.framesqueued,104.0
1722216691.4651022,ptychonn.2.framesqueued,105.0
1722216691.4657922,ptychonn.2.framesqueued,106.0
1722216691.4663694,ptychonn.2.framesqueued,107.0
1722216691.4669228,ptychonn.2.framesqueued,108.0
1722216691.4676468,ptychonn.2.framesqueued,109.0
1722216691.4682276,ptychonn.2.framesqueued,110.0
1722216691.4703588,ptychonn.2.framesqueued,111.0
1722216691.4740312,ptychonn.2.framesqueued,112.0
1722216691.4773612,ptychonn.2.framesqueued,113.0
1722216691.4878256,ptychonn.2.framesqueued,114.0
1722216691.4883027,ptychonn.2.framesqueued,115.0
1722216691.4887042,ptychonn.2.framesqueued,116.0
1722216691.4904983,ptychonn.2.framesqueued,117.0
1722216691.4939122,ptychonn.2.framesqueued,118.0
1722216691.4970827,ptychonn.2.framesqueued,119.0
1722216691.5030575,ptychonn.2.batchesprocessed.total,5.0
1722216691.5034964,ptychonn.2.framesprocessed.total,40.0
1722216691.5034113,ptychonn.2.framesqueued,120.0
1722216691.5035472,ptychonn.2.inferTime.total,0.4112813472747803
1722216691.5039325,ptychonn.2.framesqueued,121.0
1722216691.5047915,ptychonn.2.framesqueued,120.0
1722216691.506147,ptychonn.2.framesqueued,119.0
1722216691.5069025,ptychonn.2.framesqueued,120.0
1722216691.507712,ptychonn.2.framesqueued,119.0
1722216691.509012,ptychonn.2.framesqueued,118.0
1722216691.5098004,ptychonn.2.framesqueued,119.0
1722216691.5104878,ptychonn.2.framesqueued,118.0
1722216691.5115628,ptychonn.2.framesqueued,117.0
1722216691.5126135,ptychonn.2.framesqueued,116.0
1722216691.5133393,ptychonn.2.framesqueued,117.0
1722216691.5139735,ptychonn.2.framesqueued,116.0
1722216691.5164065,ptychonn.2.framesqueued,117.0
1722216691.536607,ptychonn.2.framesqueued,118.0
1722216691.5474536,ptychonn.2.framesqueued,119.0
1722216691.5479357,ptychonn.2.framesqueued,120.0
1722216691.5483422,ptychonn.2.framesqueued,121.0
1722216691.5487833,ptychonn.2.framesqueued,122.0
1722216691.5494637,ptychonn.2.framesqueued,123.0
1722216691.550045,ptychonn.2.framesqueued,124.0
1722216691.5506275,ptychonn.2.framesqueued,125.0
1722216691.5512037,ptychonn.2.framesqueued,126.0
1722216691.551787,ptychonn.2.framesqueued,127.0
1722216691.5543485,ptychonn.2.framesqueued,128.0
1722216691.5576007,ptychonn.2.framesqueued,129.0
1722216691.563839,ptychonn.2.framesqueued,130.0
1722216691.5643394,ptychonn.2.framesqueued,131.0
1722216691.5670872,ptychonn.2.framesqueued,132.0
1722216691.5704305,ptychonn.2.framesqueued,133.0
1722216691.5813365,ptychonn.2.framesqueued,134.0
1722216691.5818317,ptychonn.2.framesqueued,135.0
1722216691.5822344,ptychonn.2.framesqueued,136.0
1722216691.5842922,ptychonn.2.framesqueued,137.0
1722216691.587293,ptychonn.2.framesqueued,138.0
1722216691.5906312,ptychonn.2.framesqueued,139.0
1722216691.5938475,ptychonn.2.framesqueued,140.0
1722216691.5972884,ptychonn.2.batchesprocessed.total,6.0
1722216691.597765,ptychonn.2.framesprocessed.total,48.0
1722216691.5977046,ptychonn.2.framesqueued,141.0
1722216691.5978222,ptychonn.2.inferTime.total,0.49028658866882324
1722216691.5987885,ptychonn.2.framesqueued,140.0
1722216691.6001642,ptychonn.2.framesqueued,139.0
1722216691.6009681,ptychonn.2.framesqueued,140.0
1722216691.6018934,ptychonn.2.framesqueued,139.0
1722216691.6026235,ptychonn.2.framesqueued,138.0
1722216691.603391,ptychonn.2.framesqueued,139.0
1722216691.604131,ptychonn.2.framesqueued,138.0
1722216691.6051843,ptychonn.2.framesqueued,137.0
1722216691.6063294,ptychonn.2.framesqueued,138.0
1722216691.6068969,ptychonn.2.framesqueued,137.0
1722216691.6080701,ptychonn.2.framesqueued,136.0
1722216691.6097445,ptychonn.2.framesqueued,137.0
1722216691.6276135,ptychonn.2.framesqueued,138.0
1722216691.6379929,ptychonn.2.framesqueued,139.0
1722216691.638468,ptychonn.2.framesqueued,140.0
1722216691.6388705,ptychonn.2.framesqueued,141.0
1722216691.6392663,ptychonn.2.framesqueued,142.0
1722216691.6400645,ptychonn.2.framesqueued,143.0
1722216691.6406286,ptychonn.2.framesqueued,144.0
1722216691.641285,ptychonn.2.framesqueued,145.0
1722216691.641849,ptychonn.2.framesqueued,146.0
1722216691.6429567,ptychonn.2.framesqueued,147.0
1722216691.6465635,ptychonn.2.framesqueued,148.0
1722216691.6497345,ptychonn.2.framesqueued,149.0
1722216691.6622818,ptychonn.2.framesqueued,150.0
1722216691.6629765,ptychonn.2.framesqueued,151.0
1722216691.6633935,ptychonn.2.framesqueued,152.0
1722216691.66388,ptychonn.2.framesqueued,153.0
1722216691.6664178,ptychonn.2.framesqueued,154.0
1722216691.669766,ptychonn.2.framesqueued,155.0
1722216691.6731155,ptychonn.2.framesqueued,156.0
1722216691.6776412,ptychonn.2.batchesprocessed.total,7.0
1722216691.6780744,ptychonn.2.framesprocessed.total,56.0
1722216691.6781206,ptychonn.2.inferTime.total,0.557896614074707
1722216691.6780016,ptychonn.2.framesqueued,157.0
1722216691.6790783,ptychonn.2.framesqueued,156.0
1722216691.6802297,ptychonn.2.framesqueued,157.0
1722216691.68082,ptychonn.2.framesqueued,156.0
1722216691.6822114,ptychonn.2.framesqueued,155.0
1722216691.682546,ptychonn.2.framesqueued,156.0
1722216691.6832583,ptychonn.2.framesqueued,155.0
1722216691.6846745,ptychonn.2.framesqueued,154.0
1722216691.6854432,ptychonn.2.framesqueued,153.0
1722216691.6862175,ptychonn.2.framesqueued,154.0
1722216691.6869261,ptychonn.2.framesqueued,153.0
1722216691.6880746,ptychonn.2.framesqueued,152.0
1722216691.688872,ptychonn.2.framesqueued,153.0
1722216691.6928413,ptychonn.2.framesqueued,154.0
1722216691.7098997,ptychonn.2.framesqueued,155.0
1722216691.719987,ptychonn.2.framesqueued,156.0
1722216691.720456,ptychonn.2.framesqueued,157.0
1722216691.7208776,ptychonn.2.framesqueued,158.0
1722216691.721319,ptychonn.2.framesqueued,159.0
1722216691.7219963,ptychonn.2.framesqueued,160.0
1722216691.722614,ptychonn.2.framesqueued,161.0
1722216691.7231567,ptychonn.2.framesqueued,162.0
1722216691.7237415,ptychonn.2.framesqueued,163.0
1722216691.7265127,ptychonn.2.framesqueued,164.0
1722216691.7297416,ptychonn.2.framesqueued,165.0
1722216691.7331102,ptychonn.2.framesqueued,166.0
1722216691.7372608,ptychonn.2.framesqueued,167.0
1722216691.739832,ptychonn.2.framesqueued,168.0
1722216691.7432263,ptychonn.2.framesqueued,169.0
1722216691.7560315,ptychonn.2.framesqueued,170.0
1722216691.7565835,ptychonn.2.framesqueued,171.0
1722216691.7569792,ptychonn.2.framesqueued,172.0
1722216691.7574315,ptychonn.2.framesqueued,173.0
1722216691.75985,ptychonn.2.framesqueued,174.0
1722216691.7630618,ptychonn.2.framesqueued,175.0
1722216691.7663257,ptychonn.2.framesqueued,176.0
1722216691.774837,ptychonn.2.batchesprocessed.total,8.0
1722216691.7751853,ptychonn.2.framesqueued,177.0
1722216691.775255,ptychonn.2.framesprocessed.total,64.0
1722216691.7758288,ptychonn.2.inferTime.total,0.6403965950012207
1722216691.7757807,ptychonn.2.framesqueued,178.0
1722216691.7766018,ptychonn.2.framesqueued,179.0
1722216691.777435,ptychonn.2.framesqueued,178.0
1722216691.7787557,ptychonn.2.framesqueued,177.0
1722216691.7796636,ptychonn.2.framesqueued,178.0
1722216691.7804344,ptychonn.2.framesqueued,177.0
1722216691.7815866,ptychonn.2.framesqueued,176.0
1722216691.782564,ptychonn.2.framesqueued,177.0
1722216691.7831905,ptychonn.2.framesqueued,176.0
1722216691.784558,ptychonn.2.framesqueued,175.0
1722216691.7852511,ptychonn.2.framesqueued,174.0
1722216691.7861547,ptychonn.2.framesqueued,175.0
1722216691.7868025,ptychonn.2.framesqueued,174.0
1722216691.7891226,ptychonn.2.framesqueued,175.0
1722216691.8173442,ptychonn.2.framesqueued,176.0
1722216691.8178775,ptychonn.2.framesqueued,177.0
1722216691.8183842,ptychonn.2.framesqueued,178.0
1722216691.8191235,ptychonn.2.framesqueued,179.0
1722216691.8197582,ptychonn.2.framesqueued,180.0
1722216691.820483,ptychonn.2.framesqueued,181.0
1722216691.8212616,ptychonn.2.framesqueued,182.0
1722216691.8218074,ptychonn.2.framesqueued,183.0
1722216691.8223362,ptychonn.2.framesqueued,184.0
1722216691.8235505,ptychonn.2.framesqueued,185.0
1722216691.826172,ptychonn.2.framesqueued,186.0
1722216691.8297653,ptychonn.2.framesqueued,187.0
1722216691.8332307,ptychonn.2.framesqueued,188.0
1722216691.8463416,ptychonn.2.framesqueued,189.0
1722216691.8469536,ptychonn.2.framesqueued,190.0
1722216691.8473868,ptychonn.2.framesqueued,191.0
1722216691.8478024,ptychonn.2.framesqueued,192.0
1722216691.8495436,ptychonn.2.framesqueued,193.0
1722216691.8530896,ptychonn.2.framesqueued,194.0
1722216691.8564343,ptychonn.2.framesqueued,195.0
1722216691.863,ptychonn.2.batchesprocessed.total,9.0
1722216691.8634236,ptychonn.2.framesprocessed.total,72.0
1722216691.863477,ptychonn.2.inferTime.total,0.7141966819763184
1722216691.8633497,ptychonn.2.framesqueued,196.0
1722216691.8639703,ptychonn.2.framesqueued,197.0
1722216691.8648317,ptychonn.2.framesqueued,196.0
1722216691.8662755,ptychonn.2.framesqueued,197.0
1722216691.8669071,ptychonn.2.framesqueued,196.0
1722216691.867769,ptychonn.2.framesqueued,195.0
1722216691.8690076,ptychonn.2.framesqueued,196.0
1722216691.869619,ptychonn.2.framesqueued,195.0
1722216691.8704004,ptychonn.2.framesqueued,194.0
1722216691.8715124,ptychonn.2.framesqueued,193.0
1722216691.8723137,ptychonn.2.framesqueued,194.0
1722216691.8729382,ptychonn.2.framesqueued,193.0
1722216691.8740141,ptychonn.2.framesqueued,192.0
1722216691.8757036,ptychonn.2.framesqueued,193.0
1722216691.895279,ptychonn.2.framesqueued,194.0
1722216691.9060595,ptychonn.2.framesqueued,195.0
1722216691.9065905,ptychonn.2.framesqueued,196.0
1722216691.9070003,ptychonn.2.framesqueued,197.0
1722216691.9074008,ptychonn.2.framesqueued,198.0
1722216691.9081998,ptychonn.2.framesqueued,199.0
1722216691.9087543,ptychonn.2.framesqueued,200.0
1722216691.9093595,ptychonn.2.framesqueued,201.0
1722216691.909894,ptychonn.2.framesqueued,202.0
1722216691.9105341,ptychonn.2.framesqueued,203.0
1722216691.913587,ptychonn.2.framesqueued,204.0
1722216691.9164114,ptychonn.2.framesqueued,205.0
1722216691.9212189,ptychonn.2.framesqueued,206.0
1722216691.9232426,ptychonn.2.framesqueued,207.0
1722216691.9266076,ptychonn.2.framesqueued,208.0
1722216691.939085,ptychonn.2.framesqueued,209.0
1722216691.9396472,ptychonn.2.framesqueued,210.0
1722216691.940059,ptychonn.2.framesqueued,211.0
1722216691.9404476,ptychonn.2.framesqueued,212.0
1722216691.9432545,ptychonn.2.framesqueued,213.0
1722216691.9463875,ptychonn.2.framesqueued,214.0
1722216691.9497356,ptychonn.2.framesqueued,215.0
1722216691.9542174,ptychonn.2.batchesprocessed.total,10.0
1722216691.9546232,ptychonn.2.framesprocessed.total,80.0
1722216691.9546678,ptychonn.2.inferTime.total,0.7902865409851074
1722216691.9545627,ptychonn.2.framesqueued,216.0
1722216691.955653,ptychonn.2.framesqueued,215.0
1722216691.9566715,ptychonn.2.framesqueued,216.0
1722216691.9573355,ptychonn.2.framesqueued,215.0
1722216691.9584072,ptychonn.2.framesqueued,214.0
1722216691.9590619,ptychonn.2.framesqueued,215.0
1722216691.9598153,ptychonn.2.framesqueued,214.0
1722216691.9608245,ptychonn.2.framesqueued,213.0
1722216691.9617932,ptychonn.2.framesqueued,212.0
1722216691.962452,ptychonn.2.framesqueued,213.0
1722216691.9631722,ptychonn.2.framesqueued,212.0
1722216691.9645312,ptychonn.2.framesqueued,211.0
1722216691.9659407,ptychonn.2.framesqueued,212.0
1722216691.9834464,ptychonn.2.framesqueued,213.0
1722216691.993407,ptychonn.2.framesqueued,214.0
1722216691.9938827,ptychonn.2.framesqueued,215.0
1722216691.9944947,ptychonn.2.framesqueued,216.0
1722216691.9955888,ptychonn.2.framesqueued,217.0
1722216691.9961889,ptychonn.2.framesqueued,218.0
1722216691.996898,ptychonn.2.framesqueued,219.0
1722216691.9976377,ptychonn.2.framesqueued,220.0
1722216691.9984107,ptychonn.2.framesqueued,221.0
1722216692.0000281,ptychonn.2.framesqueued,222.0
1722216692.0030892,ptychonn.2.framesqueued,223.0
1722216692.0064647,ptychonn.2.framesqueued,224.0
1722216692.0165904,ptychonn.2.framesqueued,225.0
1722216692.0171075,ptychonn.2.framesqueued,226.0
1722216692.0175362,ptychonn.2.framesqueued,227.0
1722216692.0197046,ptychonn.2.framesqueued,228.0
1722216692.0229862,ptychonn.2.framesqueued,229.0
1722216692.0264194,ptychonn.2.framesqueued,230.0
1722216692.0312705,ptychonn.2.batchesprocessed.total,11.0
1722216692.0317814,ptychonn.2.framesprocessed.total,88.0
1722216692.0317056,ptychonn.2.framesqueued,231.0
1722216692.0318327,ptychonn.2.inferTime.total,0.8545665740966797
1722216692.0327685,ptychonn.2.framesqueued,230.0
1722216692.0337276,ptychonn.2.framesqueued,231.0
1722216692.0347393,ptychonn.2.framesqueued,230.0
1722216692.0355995,ptychonn.2.framesqueued,231.0
1722216692.0361788,ptychonn.2.framesqueued,230.0
1722216692.037275,ptychonn.2.framesqueued,229.0
1722216692.0382173,ptychonn.2.framesqueued,228.0
1722216692.0392125,ptychonn.2.framesqueued,229.0
1722216692.0397084,ptychonn.2.framesqueued,228.0
1722216692.0407705,ptychonn.2.framesqueued,227.0
1722216692.04176,ptychonn.2.framesqueued,226.0
1722216692.0423145,ptychonn.2.framesqueued,227.0
1722216692.045961,ptychonn.2.framesqueued,228.0
1722216692.0547678,ptychonn.2.framesqueued,229.0
1722216692.0620515,ptychonn.2.framesqueued,230.0
1722216692.0625296,ptychonn.2.framesqueued,231.0
1722216692.0630233,ptychonn.2.framesqueued,232.0
1722216692.063626,ptychonn.2.framesqueued,233.0
1722216692.06647,ptychonn.2.framesqueued,234.0
1722216692.0696065,ptychonn.2.framesqueued,235.0
1722216692.0731542,ptychonn.2.framesqueued,236.0
1722216692.08296,ptychonn.2.framesqueued,237.0
1722216692.0835085,ptychonn.2.framesqueued,238.0
1722216692.0840404,ptychonn.2.framesqueued,239.0
1722216692.0864282,ptychonn.2.framesqueued,240.0
1722216692.089701,ptychonn.2.framesqueued,241.0
1722216692.0930727,ptychonn.2.framesqueued,242.0
1722216692.0970643,ptychonn.2.batchesprocessed.total,12.0
1722216692.0975053,ptychonn.2.framesprocessed.total,96.0
1722216692.097432,ptychonn.2.framesqueued,243.0
1722216692.097551,ptychonn.2.inferTime.total,0.906015157699585
1722216692.0984404,ptychonn.2.framesqueued,242.0
1722216692.0996876,ptychonn.2.framesqueued,243.0
1722216692.100041,ptychonn.2.framesqueued,242.0
1722216692.1010327,ptychonn.2.framesqueued,241.0
1722216692.1022327,ptychonn.2.framesqueued,240.0
1722216692.1025603,ptychonn.2.framesqueued,241.0
1722216692.1035888,ptychonn.2.framesqueued,240.0
1722216692.1044865,ptychonn.2.framesqueued,239.0
1722216692.1053448,ptychonn.2.framesqueued,238.0
1722216692.1056526,ptychonn.2.framesqueued,239.0
1722216692.1065195,ptychonn.2.framesqueued,238.0
1722216692.123175,ptychonn.2.framesqueued,239.0
1722216692.12377,ptychonn.2.framesqueued,240.0
1722216692.124207,ptychonn.2.framesqueued,241.0
1722216692.1246383,ptychonn.2.framesqueued,242.0
1722216692.1253464,ptychonn.2.framesqueued,243.0
1722216692.1259964,ptychonn.2.framesqueued,244.0
1722216692.1297827,ptychonn.2.framesqueued,245.0
1722216692.1331117,ptychonn.2.framesqueued,246.0
1722216692.1400158,ptychonn.2.framesqueued,247.0
1722216692.1405256,ptychonn.2.framesqueued,248.0
1722216692.1429498,ptychonn.2.framesqueued,249.0
1722216692.146225,ptychonn.2.framesqueued,250.0
1722216692.1496572,ptychonn.2.framesqueued,251.0
1722216692.1540918,ptychonn.2.batchesprocessed.total,13.0
1722216692.154471,ptychonn.2.framesprocessed.total,104.0
1722216692.1544166,ptychonn.2.framesqueued,252.0
1722216692.1545153,ptychonn.2.inferTime.total,0.9518847465515137
1722216692.1554327,ptychonn.2.framesqueued,251.0
1722216692.1564379,ptychonn.2.framesqueued,252.0
1722216692.1573098,ptychonn.2.framesqueued,251.0
1722216692.1582184,ptychonn.2.framesqueued,250.0
1722216692.159131,ptychonn.2.framesqueued,251.0
1722216692.1596088,ptychonn.2.framesqueued,250.0
1722216692.16062,ptychonn.2.framesqueued,249.0
1722216692.1615376,ptychonn.2.framesqueued,248.0
1722216692.162169,ptychonn.2.framesqueued,249.0
1722216692.1627266,ptychonn.2.framesqueued,248.0
1722216692.1637762,ptychonn.2.framesqueued,247.0
1722216692.1656864,ptychonn.2.framesqueued,248.0
1722216692.1759138,ptychonn.2.framesqueued,249.0
1722216692.1830919,ptychonn.2.framesqueued,250.0
1722216692.1835973,ptychonn.2.framesqueued,251.0
1722216692.1842036,ptychonn.2.framesqueued,252.0
1722216692.1849349,ptychonn.2.framesqueued,253.0
